"Organism"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"txid2528022"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Lacipirellulaceae"	"Botrimarina"	"Botrimarina mediterranea"
"txid1400387"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Lacipirellulaceae"	"Bythopirellula"	"Bythopirellula goksoeyrii"
"txid2528003"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Lacipirellulaceae"	"Bythopirellula"	"Bythopirellula polymerisocia"
"txid2528024"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Lacipirellulaceae"	"Lacipirellula"	"Lacipirellula limnantheis"
"txid2528009"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Lacipirellulaceae"	"Pirellulimonas"	"Pirellulimonas nuda"
"txid1938618"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Lacipirellulaceae"	"Posidoniimonas"	"Posidoniimonas corsicana"
"txid2528002"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Lacipirellulaceae"	"Posidoniimonas"	"Posidoniimonas polymericola"
"txid2527991"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Lacipirellulaceae"	"Pseudobythopirellula"	"Pseudobythopirellula maris"
"txid2528021"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Anatilimnocola"	"Anatilimnocola aggregata"
"txid2527970"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Blastopirellula"	"Blastopirellula retiformator"
"txid2527984"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Bremerella"	"Bremerella volcania"
"txid980251"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Mariniblastus"	"Mariniblastus fucicola"
"txid530564"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Pirellula"	"Pirellula staleyi"
"txid1536901"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Rhodopirellula"	"Rhodopirellula caenicola"
"txid1930274"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Roseimaritima"	"Roseimaritima multifibrata"
"txid1331911"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta hypogea"
"txid1331910"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta terrifontis"
"txid1742923"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermostilla"	"Thermostilla marina"
"txid2527989"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Alienimonas"	"Alienimonas californiensis"
"txid2528027"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Calycomorphotria"	"Calycomorphotria hydatis"
"txid2527983"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Caulifigura"	"Caulifigura coniformis"
"txid2527973"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Gimesia"	"Gimesia alba"
"txid2527964"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Gimesia"	"Gimesia aquarii"
"txid2608982"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Gimesia"	"Gimesia benthica"
"txid2527978"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Gimesia"	"Gimesia panareensis"
"txid2528026"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Maioricimonas"	"Maioricimonas rarisocia"
"txid1576369"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Planctomicrobium"	"Planctomicrobium piriforme"
"txid120"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Planctopirus"	"Planctopirus limnophila"
"txid2528007"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Polystyrenella"	"Polystyrenella longa"
"txid360056"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Schlesneria"	"Schlesneria paludicola"
"txid2527985"	"Bacteria"	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Symmachiella"	"Symmachiella macrocystis"
"txid1232575"	"Bacteria"	"Proteobacteria"	"Acidithiobacillia"	"Acidithiobacillales"	"Acidithiobacillaceae"	"Acidithiobacillus"	"Acidithiobacillus ferridurans"
"txid1978549"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Aquidulcibacter"	"Aquidulcibacter paucihalophilus"
"txid78587"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Asticcacaulis"	"Asticcacaulis excentricus"
"txid1391729"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"	"Brevundimonas abyssalis"
"txid74316"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"	"Brevundimonas aurantiaca"
"txid370977"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"	"Brevundimonas aveniformis"
"txid293"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"	"Brevundimonas diminuta"
"txid2725493"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"	"Brevundimonas huaxiensis"
"txid424796"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"	"Brevundimonas lenta"
"txid588932"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"	"Brevundimonas naejangsanensis"
"txid172043"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"	"Brevundimonas nasdae"
"txid657642"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"	"Brevundimonas olei"
"txid2774189"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"	"Brevundimonas pondensis"
"txid363631"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"	"Brevundimonas terrae"
"txid41276"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"	"Brevundimonas vesicularis"
"txid2172652"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"Caulobacter endophyticus"
"txid69396"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"Caulobacter fusiformis"
"txid400775"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"Caulobacter ginsengisoli"
"txid69395"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"Caulobacter henricii"
"txid2035993"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"Caulobacter hibisci"
"txid69666"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"Caulobacter mirabilis"
"txid1380046"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"Caulobacter profundus"
"txid155892"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"Caulobacter vibrioides"
"txid2055137"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"Caulobacter zeae"
"txid1122958"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Phenylobacterium"	"Phenylobacterium composti"
"txid1298959"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Phenylobacterium"	"Phenylobacterium conjunctum"
"txid279827"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Phenylobacterium"	"Phenylobacterium falsum"
"txid98513"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Phenylobacterium"	"Phenylobacterium haematophilum"
"txid273793"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Phenylobacterium"	"Phenylobacterium lituiforme"
"txid162292"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Phenylobacterium"	"Phenylobacterium mobile"
"txid760012"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Phenylobacterium"	"Phenylobacterium muchangponense"
"txid2170551"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Phenylobacterium"	"Phenylobacterium soli"
"txid2686094"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Terricaulis"	"Terricaulis silvestris"
"txid1629334"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Holosporales"	"Caedimonadaceae"	"Caedimonas"	"Caedimonas varicaedens"
"txid209897"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Afifellaceae"	"Afifella"	"Afifella pfennigii"
"txid1532856"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Ahrensiaceae"	"Pseudahrensia"	"Pseudahrensia todarodis"
"txid1522175"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Aurantimonadaceae"	"Aurantimonas"	"Aurantimonas endophytica"
"txid1121026"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Aurantimonadaceae"	"Aureimonas"	"Aureimonas altamirensis"
"txid2027858"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Aurantimonadaceae"	"Aureimonas"	"Aureimonas endophytica"
"txid2320271"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Aurantimonadaceae"	"Aureimonas"	"Aureimonas flava"
"txid424757"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Aurantimonadaceae"	"Aureimonas"	"Aureimonas frigidaquae"
"txid1166073"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Aurantimonadaceae"	"Aureimonas"	"Aureimonas jatrophae"
"txid1166078"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Aurantimonadaceae"	"Aureimonas"	"Aureimonas phyllosphaerae"
"txid2495496"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Aurantimonadaceae"	"Aureimonas"	"Aureimonas psammosilenae"
"txid1744844"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Aurantimonadaceae"	"Aureimonas"	"Aureimonas pseudogalii"
"txid2558362"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Aurantimonadaceae"	"Jiella"	"Jiella endophytica"
"txid231435"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Beijerinckiaceae"	"Beijerinckia"	"Beijerinckia derxii"
"txid395963"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Beijerinckiaceae"	"Beijerinckia"	"Beijerinckia indica"
"txid663610"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Beijerinckiaceae"	"Methylocapsa"	"Methylocapsa aurea"
"txid1612308"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Beijerinckiaceae"	"Methylocapsa"	"Methylocapsa palsarum"
"txid81943"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Beijerinckiaceae"	"Methylocella"	"Methylocella palustris"
"txid395965"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Beijerinckiaceae"	"Methylocella"	"Methylocella silvestris"
"txid876269"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Beijerinckiaceae"	"Methyloferula"	"Methyloferula stellata"
"txid1538103"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Beijerinckiaceae"	"Pseudochelatococcus"	"Pseudochelatococcus contaminans"
"txid50712"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Blastochloridaceae"	"Blastochloris"	"Blastochloris sulfoviridis"
"txid1079"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Blastochloridaceae"	"Blastochloris"	"Blastochloris viridis"
"txid53254"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Boseaceae"	"Bosea"	"Bosea thiooxidans"
"txid439375"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Brucellaceae"	"Brucella"	"Brucella anthropi"
"txid419475"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Brucellaceae"	"Brucella"	"Brucella pseudogrignonensis"
"txid571255"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Brucellaceae"	"Brucella"	"Brucella thiophenivorans"
"txid2448455"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Brucellaceae"	"Brucella"	"Ochrobactrum soli"
"txid354351"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Brucellaceae"	"Pseudochrobactrum"	"Pseudochrobactrum asaccharolyticum"
"txid354352"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Brucellaceae"	"Pseudochrobactrum"	"Pseudochrobactrum saccharolyticum"
"txid28210"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Chelatococcaceae"	"Chelatococcus"	"Chelatococcus asaccharovorans"
"txid1743235"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Chelatococcaceae"	"Chelatococcus"	"Chelatococcus composti"
"txid2741498"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Chelatococcaceae"	"Chelatococcus"	"Chelatococcus thermostellatus"
"txid372072"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Cohaesibacteraceae"	"Cohaesibacter"	"Cohaesibacter gelatinilyticus"
"txid2211145"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Cohaesibacteraceae"	"Cohaesibacter"	"Cohaesibacter intestini"
"txid429726"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Devosiaceae"	"Devosia"	"Devosia albogilva"
"txid2714858"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Devosiaceae"	"Devosia"	"Devosia aurantiaca"
"txid1849014"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Devosiaceae"	"Devosia"	"Devosia confluentis"
"txid1770058"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Devosiaceae"	"Devosia"	"Devosia elaeis"
"txid665118"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Devosiaceae"	"Devosia"	"Devosia enhydra"
"txid1591105"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Devosiaceae"	"Devosia"	"Devosia humi"
"txid1116389"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Devosiaceae"	"Devosia"	"Devosia insulae"
"txid2082392"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Devosiaceae"	"Devosia"	"Devosia naphthalenivorans"
"txid2774137"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Devosiaceae"	"Devosia"	"Devosia rhizoryzae"
"txid1173082"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Devosiaceae"	"Devosia"	"Devosia submarina"
"txid470028"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Devosiaceae"	"Devosia"	"Devosia yakushimensis"
"txid1447062"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Devosiaceae"	"Youhaiella"	"Youhaiella tibetensis"
"txid169176"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Hyphomicrobiaceae"	"Caenibius"	"Caenibius tardaugens"
"txid418854"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Hyphomicrobiaceae"	"Filomicrobium"	"Filomicrobium insigne"
"txid53398"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Hyphomicrobiaceae"	"Hyphomicrobium"	"Hyphomicrobium aestuarii"
"txid2665159"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Hyphomicrobiaceae"	"Hyphomicrobium"	"Hyphomicrobium album"
"txid53400"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Hyphomicrobiaceae"	"Hyphomicrobium"	"Hyphomicrobium hollandicum"
"txid1029756"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Hyphomicrobiaceae"	"Hyphomicrobium"	"Hyphomicrobium nitrativorans"
"txid83"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Hyphomicrobiaceae"	"Hyphomicrobium"	"Hyphomicrobium vulgare"
"txid1384459"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Hyphomicrobiaceae"	"Methyloceanibacter"	"Methyloceanibacter caenitepidi"
"txid1177755"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Hyphomicrobiaceae"	"Methyloligella"	"Methyloligella halotolerans"
"txid1177756"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Hyphomicrobiaceae"	"Methyloligella"	"Methyloligella solikamskensis"
"txid1751901"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Hyphomicrobiaceae"	"Methylothermalis"	"Methylothermalis aethiopiae"
"txid47498"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Hyphomicrobiaceae"	"Pedomicrobium"	"Pedomicrobium manganicum"
"txid2498452"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Hyphomicrobiaceae"	"Rhodomicrobium"	"Rhodomicrobium lacus"
"txid1897628"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Hyphomicrobiaceae"	"Rhodoplanes"	"Rhodoplanes azumiensis"
"txid29408"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Hyphomicrobiaceae"	"Rhodoplanes"	"Rhodoplanes elegans"
"txid200615"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Hyphomicrobiaceae"	"Rhodoplanes"	"Rhodoplanes serenus"
"txid200616"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Hyphomicrobiaceae"	"Rhodoplanes"	"Rhodoplanes tepidamans"
"txid1897629"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Hyphomicrobiaceae"	"Rhodoplanes"	"Rhodoplanes tepidicaeni"
"txid616952"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Kaistiaceae"	"Bauldia"	"Bauldia consociata"
"txid665467"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Kaistiaceae"	"Bauldia"	"Bauldia litoralis"
"txid410840"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Kaistiaceae"	"Kaistia"	"Kaistia dalseonensis"
"txid81895"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Kaistiaceae"	"Prosthecomicrobium"	"Prosthecomicrobium pneumaticum"
"txid1339210"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylobacteriaceae"	"Enterovirga"	"Enterovirga rhinocerotis"
"txid2202825"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylobacteriaceae"	"Methylobacterium"	"Methylobacterium durans"
"txid243690"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylobacteriaceae"	"Methylobacterium"	"Methylobacterium goesingense"
"txid418707"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylobacteriaceae"	"Methylobacterium"	"Methylobacterium iners"
"txid767694"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylobacteriaceae"	"Methylobacterium"	"Methylobacterium longum"
"txid410"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylobacteriaceae"	"Methylobacterium"	"Methylobacterium organophilum"
"txid693986"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylobacteriaceae"	"Methylobacterium"	"Methylobacterium oryzae"
"txid2499852"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylobacteriaceae"	"Methylobacterium"	"Methylobacterium oryzihabitans"
"txid374426"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylobacteriaceae"	"Methylobacterium"	"Methylobacterium persicinum"
"txid426355"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylobacteriaceae"	"Methylobacterium"	"Methylobacterium radiotolerans"
"txid2488750"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylobacteriaceae"	"Methylobacterium"	"Methylobacterium segetis"
"txid1003091"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylobacteriaceae"	"Methylobacterium"	"Methylobacterium thuringiense"
"txid269069"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylobacteriaceae"	"Methylorubrum"	"Methylorubrum aminovorans"
"txid144191"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylobacteriaceae"	"Methylorubrum"	"Methylorubrum suomiense"
"txid670291"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylobacteriaceae"	"Microvirga"	"Microvirga aerophila"
"txid2580413"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylobacteriaceae"	"Microvirga"	"Microvirga brassicacearum"
"txid2249811"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylobacteriaceae"	"Microvirga"	"Microvirga flavescens"
"txid1033741"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylobacteriaceae"	"Microvirga"	"Microvirga massiliensis"
"txid2778729"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylobacteriaceae"	"Microvirga"	"Microvirga pudoricolor"
"txid1854496"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylobacteriaceae"	"Microvirga"	"Microvirga soli"
"txid186651"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylobacteriaceae"	"Microvirga"	"Microvirga subterranea"
"txid1294048"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylobacteriaceae"	"Psychroglaciecola"	"Psychroglaciecola arctica"
"txid1437009"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylocystaceae"	"Chenggangzhangella"	"Chenggangzhangella methanolivorans"
"txid2528245"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylocystaceae"	"Hansschlegelia"	"Hansschlegelia quercus"
"txid655015"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylocystaceae"	"Methylocystis"	"Methylocystis bryophila"
"txid29468"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylocystaceae"	"Methylocystis"	"Methylocystis echinoides"
"txid391905"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylocystaceae"	"Methylocystis"	"Methylocystis heyeri"
"txid1134912"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylocystaceae"	"Methylocystis"	"Methylocystis parvus"
"txid1132444"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylocystaceae"	"Methylocystis"	"Methylocystis rosea"
"txid2743612"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylocystaceae"	"Methylocystis"	"Methylocystis silviterrae"
